image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,tag1,tag2,tag3,score,split,category,scene_conf,is_generated,scene_tail_bucket
591979,0.0,0.008130081300813,0.016260162601626,0.1056910569105691,0.3658536585365853,0.3577235772357723,0.1300813008130081,0.0,0.008130081300813,0.008130081300813,15,28,738,5.5284552845528445,val,ocean,0.943,0,non_long_tail_scene
303746,0.0278745644599303,0.0383275261324041,0.0975609756097561,0.205574912891986,0.2439024390243902,0.2264808362369338,0.0766550522648083,0.0557491289198606,0.0174216027874564,0.0104529616724738,1,12,459,5.041811846689895,val,jail_cell,0.5332,0,non_long_tail_scene
777925,0.0076923076923076,0.0076923076923076,0.0384615384615384,0.1076923076923077,0.3769230769230769,0.3307692307692307,0.0923076923076923,0.0384615384615384,0.0,0.0,0,0,1003,5.392307692307693,val,beach,0.6371,0,non_long_tail_scene
246223,0.004524886877828,0.004524886877828,0.0588235294117647,0.1221719457013574,0.2895927601809955,0.2443438914027149,0.1402714932126696,0.0814479638009049,0.0271493212669683,0.0271493212669683,5,35,393,5.742081447963802,val,harbor,0.5036,0,non_long_tail_scene
45426,0.0960698689956331,0.0917030567685589,0.1528384279475982,0.1921397379912663,0.2096069868995633,0.0917030567685589,0.1004366812227074,0.0349344978165938,0.0218340611353711,0.0087336244541484,4,16,155,4.3711790393013095,val,sandbox,0.482,0,non_long_tail_scene
703002,0.0,0.0189873417721519,0.0316455696202531,0.120253164556962,0.4620253164556962,0.2658227848101265,0.0759493670886076,0.0189873417721519,0.0,0.0063291139240506,0,0,886,5.265822784810127,val,pond,0.7734,0,non_long_tail_scene
46173,0.0,0.0075471698113207,0.0415094339622641,0.1018867924528302,0.1245283018867924,0.2679245283018868,0.2,0.1471698113207547,0.0641509433962264,0.0452830188679245,21,0,158,6.384905660377359,val,jail_cell,0.7488,0,non_long_tail_scene
33322,0.015228426395939,0.0406091370558375,0.0761421319796954,0.2233502538071066,0.2690355329949238,0.1370558375634517,0.1573604060913705,0.0507614213197969,0.015228426395939,0.015228426395939,15,57,129,5.182741116751269,val,forest/needleleaf,0.314,0,non_long_tail_scene
52285,0.0386740331491712,0.0773480662983425,0.1325966850828729,0.2762430939226519,0.3038674033149171,0.0939226519337016,0.0386740331491712,0.0331491712707182,0.005524861878453,0.0,5,19,168,4.364640883977901,val,veterinarians_office,0.6374,0,non_long_tail_scene
764577,0.010752688172043,0.03584229390681,0.064516129032258,0.1326164874551971,0.2473118279569892,0.2652329749103942,0.1397849462365591,0.03584229390681,0.043010752688172,0.025089605734767,17,40,991,5.53763440860215,val,orchard,0.3404,0,non_long_tail_scene
